10gb
bufsize	128	256	384	512	640	768	896	1024	1152	1280	1408	1536	1664	1792	1920	2048	2176	2304	2432	2560	2688	2816	2944	3072	3200	3328	3456	3584	3712	3840	3968	4096	
horz	2357	1863	1743	1624	1561	1883	1586	1526	1519	1525	1515	1536	1542	1545	1577	1551	1556	1568	1575	1581	1594	1632	1598	1612	1622	1628	1624	1640	1645	1678	1680	1697	
vert	1474	1452	1453	1466	1478	1500	1504	1501	1523	1525	1533	1541	1564	1572	1583	1594	1593	1614	1617	1665	1639	1673	1662	1678	1669	1689	1701	1702	1713	1758	1731	1763	
