benchmarks of hybrid/hybrid-vert.e
procs	64gb	
serial	52402	
2 x 2	14626	
2 x 3	10341	
2 x 4	7519	
2 x 5	6233	
2 x 6	5957	
2 x 7	4475	
2 x 8	4374	
2 x 9	4543	
2 x 10	3137	
3 x 2	9239	
3 x 3	6636	
3 x 4	5065	
3 x 5	4267	
3 x 6	4200	
3 x 7	3468	
3 x 8	3468	
3 x 9	3577	
3 x 10	3209	
