benchmarks of mpi/mpi-vert.e
procs	64gb	
serial	56400	
2	32292	
4	16078	
6	8678	
8	6946	
10	5985	
12	5441	
14	4793	
16	4397	
18	4346	
20	4008	
22	3627	
24	3855	
26	3728	
28	3665	
30	3682	
