benchmarking serial, omp, mpi, hybrid
program	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	18gb	20gb	22gb	24gb	26gb	28gb	30gb	32gb	34gb	36gb	38gb	40gb	42gb	44gb	46gb	48gb	50gb	52gb	54gb	56gb	58gb	60gb	62gb	64gb	
serial	1380	2745	4291	5525	6947	8333	9814	11238	12603	13991	15445	17806	19739	21883	23773	26481	28419	30778	32739	35244	36956	37494	38951	41543	43285	45301	47273	49316	51518	53168	55398	58090	
omp	110	194	302	452	581	684	811	1000	1276	1307	1629	1925	2887	3111	2978	4315	5868	4066	4751	7364	7579	6610	9174	10269	12737	13605	15705	15937	15056	16607	12359	8267	
mpi	180	269	385	518	630	753	857	976	1075	1187	1291	1404	1525	1609	1708	1824	1965	2052	2171	2274	2356	2494	2587	2709	2803	2924	3042	3146	3262	3465	3480	3590	
hybrid	93	190	288	377	473	565	665	761	881	934	1071	1162	1224	1286	1369	1507	1638	1773	1877	1957	2010	2132	2204	2302	2344	2448	2553	2608	2770	2865	2849	2996	
