benchmarking fill techniques
program	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	18gb	20gb	22gb	24gb	26gb	28gb	30gb	32gb	34gb	36gb	38gb	40gb	42gb	44gb	46gb	48gb	50gb	52gb	54gb	56gb	58gb	60gb	62gb	64gb	
otf-blocked	145	292	431	570	710	871	1310	1357	1363	1837	2239	2377	2385	4431	4635	3013	4867	6739	10527	9699	14344	14942	16455	20243	19276	18299	22004	23101	17959	12975	9761	11017	
cornersync	148	287	433	577	723	870	1023	1206	1379	1587	2117	1751	3025	2027	7030	2360	5722	7075	9106	15719	5864	13009	15084	17651	19310	21482	18632	16148	13344	20217	18037	11907	
