6gb
dims	16	32	48	64	80	96	112	128	144	160	176	192	208	224	240	256	272	288	304	320	336	352	368	384	400	416	432	448	464	480	496	512	
16	488	472	475	458	450	446	442	444	443	441	437	441	444	444	443	444	438	436	436	435	435	435	434	432	432	432	433	434	434	436	436	440	
32	503	466	563	557	534	522	507	499	521	512	503	491	454	450	445	441	437	435	434	433	435	435	436	435	434	433	433	432	432	431	432	432	
48	498	469	596	552	531	513	501	490	482	476	471	466	461	454	448	444	441	437	435	434	436	433	434	433	432	431	430	429	429	429	429	429	
64	486	466	704	634	601	512	497	533	521	511	503	492	481	471	458	451	448	443	439	437	434	432	433	430	428	427	427	426	426	427	427	426	
80	476	457	592	546	530	514	499	486	479	471	466	463	456	450	444	443	439	435	433	431	429	428	428	427	429	429	427	427	427	427	427	427	
96	474	466	695	626	588	561	541	525	512	502	493	483	467	459	446	440	436	435	430	430	429	429	429	429	429	428	429	428	429	429	430	429	
112	469	465	699	630	525	509	497	484	476	470	473	460	454	446	440	437	432	429	429	429	430	429	430	430	429	428	429	430	430	430	430	430	
128	467	460	692	621	586	560	539	521	509	500	492	483	462	439	438	435	433	433	434	434	435	434	434	434	434	434	432	433	433	433	432	432	
144	466	465	693	624	588	507	493	482	474	469	496	486	464	454	443	431	432	430	430	429	430	429	428	428	429	429	427	427	427	429	428	427	
160	462	458	686	616	580	555	490	478	470	463	490	480	460	446	439	439	440	439	439	438	439	439	439	438	438	436	436	436	436	436	436	436	
176	458	447	588	544	522	506	493	482	475	503	494	484	464	441	435	433	433	432	433	432	431	430	430	430	431	430	429	429	429	429	428	428	
192	455	452	585	538	518	557	500	490	483	498	490	478	451	446	444	445	444	442	443	443	442	442	441	441	441	440	441	440	440	439	439	439	
208	463	462	699	629	594	568	498	486	484	480	501	462	456	442	441	440	438	437	436	436	436	435	434	434	435	435	434	433	434	433	433	433	
224	456	451	681	612	578	553	531	516	504	493	483	452	448	449	448	445	444	444	444	444	442	442	442	440	441	441	441	440	441	440	440	439	
240	458	456	586	534	515	502	488	495	487	463	475	461	457	452	450	449	449	448	448	447	447	446	446	445	446	445	445	445	444	444	443	443	
256	461	458	582	535	515	502	488	477	470	462	459	457	454	452	452	450	451	449	449	449	449	449	448	448	448	446	446	447	446	446	445	445	
272	458	456	675	612	577	552	530	471	465	461	476	455	453	451	451	451	450	450	449	448	448	447	447	447	446	446	446	446	445	445	445	444	
288	466	460	671	606	565	527	524	506	495	488	465	459	451	449	449	447	445	444	445	444	444	443	442	442	442	442	442	442	442	441	441	446	
304	464	464	699	633	593	568	550	533	522	512	474	473	445	443	442	440	440	437	437	436	436	435	435	435	435	435	434	434	436	434	434	434	
320	467	464	686	617	516	501	488	478	475	471	465	466	463	460	460	459	457	457	457	456	455	456	455	455	453	454	453	453	454	453	452	452	
336	466	461	685	613	539	520	509	518	508	483	462	459	450	450	448	447	446	446	445	457	444	444	443	443	443	443	442	442	442	442	442	442	
352	459	456	691	621	586	560	540	525	475	475	457	451	438	437	436	434	433	432	432	431	431	431	430	431	430	430	429	430	430	429	428	428	
368	468	460	683	615	577	551	531	515	506	468	464	459	452	451	450	448	447	447	447	446	446	445	445	444	444	443	444	444	445	444	444	443	
384	474	472	681	612	578	503	492	486	483	475	476	474	469	467	466	465	465	464	464	464	463	462	461	461	460	461	460	461	461	460	459	459	
400	467	468	707	636	604	575	557	542	527	477	471	464	455	451	448	447	446	445	443	442	443	442	442	441	442	443	440	440	441	440	439	440	
416	467	465	671	602	568	543	524	508	493	470	469	467	462	462	461	460	459	458	458	457	456	456	456	456	456	455	455	455	454	454	454	454	
432	450	445	591	538	521	504	492	482	473	454	451	445	437	436	435	435	434	433	433	432	432	431	431	431	431	430	429	430	429	429	430	429	
448	465	460	606	560	540	525	558	542	517	465	474	465	453	452	449	448	448	447	446	446	446	447	446	445	445	444	444	444	444	443	442	443	
464	675	467	660	551	532	516	502	491	483	473	470	469	466	464	463	461	460	460	460	459	459	459	458	457	457	456	456	457	457	457	456	456	
480	474	471	680	612	578	540	496	490	485	476	475	477	470	467	466	465	464	464	463	462	462	461	461	461	461	461	460	460	460	459	459	459	
496	464	466	701	636	600	574	504	492	477	461	469	462	448	447	443	442	441	440	441	439	439	439	439	438	438	438	438	439	438	439	438	439	
512	470	466	709	570	550	532	522	529	497	474	469	465	458	457	459	454	454	453	452	453	451	451	451	451	450	450	450	450	450	449	450	450	
