8k blocks
dims	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
2x4000	644	1258	1899	2570	3160	3807	7173	10428
4x2000	630	1236	1881	2481	3168	3768	7178	10328
16x500	622	1223	1995	2505	3086	3710	7082	10395
64x125	608	1217	1788	2396	3069	3673	7071	10167
89x89	615	1226	1781	2416	3025	4020	7395	10432
125x64	603	1197	1743	2317	2962	3923	7268	10414
1000x8	710	1382	2105	2742	3502	4676	7871	10752
