8gb
bufsize	128	256	384	512	640	768	896	1024	1152	1280	1408	1536	1664	1792	1920	2048	2176	2304	2432	2560	2688	2816	2944	3072	3200	3328	3456	3584	3712	3840	3968	4096	
time	849	827	842	840	853	861	873	879	893	901	908	913	928	936	946	951	971	986	997	1006	1024	1042	1044	1068	1067	1093	1094	1111	1140	1146	1162	1169	
