6gb
dims	16	32	48	64	80	96	112	128	144	160	176	192	208	224	240	256	272	288	304	320	336	352	368	384	400	416	432	448	464	480	496	512	
16	509	494	481	474	466	463	459	456	455	454	454	452	453	452	452	450	449	449	448	446	448	445	447	446	445	446	446	445	445	445	445	444	
32	478	472	610	591	580	569	544	540	516	513	511	504	499	493	482	474	467	450	449	447	445	443	445	444	440	440	438	437	437	435	435	433	
48	498	466	609	559	533	518	511	503	487	480	505	499	494	489	478	454	450	452	448	446	444	439	439	438	436	436	434	434	432	432	430	429	
64	479	453	601	551	527	513	500	489	480	474	468	466	463	460	452	449	445	442	440	438	437	436	435	434	433	431	430	429	429	429	428	429	
80	467	451	601	627	588	563	544	527	480	476	471	491	484	478	469	458	449	440	439	436	434	435	433	432	430	430	429	429	429	429	429	429	
96	455	444	620	564	587	561	539	525	513	502	493	487	482	478	466	457	445	439	436	436	433	433	432	432	432	432	433	432	432	431	431	431	
112	457	454	698	635	593	511	497	531	520	508	500	494	492	458	452	450	438	439	435	434	433	433	431	431	431	431	432	432	432	431	435	431	
128	457	452	683	616	535	512	539	478	512	500	492	486	481	452	445	444	436	435	436	436	437	436	436	438	437	436	435	435	434	436	435	433	
144	453	443	587	541	522	507	493	527	477	505	497	463	459	454	445	436	432	432	430	432	431	431	431	431	429	430	429	428	429	429	428	428	
160	451	444	581	616	518	503	488	479	471	464	459	457	456	447	443	441	441	440	440	440	440	439	440	439	439	438	438	437	438	437	437	437	
176	451	453	588	541	522	507	493	482	474	469	463	461	458	448	434	434	434	433	433	432	432	432	431	431	431	431	431	430	430	430	429	430	
192	452	449	684	613	578	503	486	479	471	463	461	484	476	457	445	445	444	443	444	444	443	443	442	442	442	442	441	441	441	441	440	440	
208	450	449	599	544	524	519	507	527	519	510	501	495	483	454	445	443	441	440	438	437	437	436	435	435	435	434	435	434	434	434	434	434	
224	452	446	673	607	574	497	487	517	504	495	485	478	463	448	448	447	446	445	445	443	443	443	442	442	441	442	441	441	441	441	441	440	
240	455	452	582	535	580	555	535	521	469	498	491	481	462	454	451	451	450	448	448	448	447	447	446	446	446	445	446	445	445	445	445	444	
256	452	453	677	616	516	555	534	518	508	497	492	480	459	454	453	453	451	450	450	449	451	448	448	447	447	446	447	446	446	447	446	446	
272	456	450	579	532	512	497	484	475	467	462	461	461	458	454	452	450	450	448	448	449	448	447	447	447	447	447	446	446	445	446	446	445	
288	460	453	607	559	539	523	509	496	493	483	480	469	457	451	449	448	448	447	446	444	444	444	444	443	443	442	442	442	442	442	443	441	
304	450	444	597	545	594	568	548	531	481	478	475	468	449	445	443	441	439	438	438	437	439	436	435	436	435	435	436	434	434	434	434	435	
320	460	458	579	536	515	500	487	479	474	472	472	472	465	462	461	459	458	458	456	456	457	455	455	455	454	453	454	453	453	453	452	453	
336	456	452	677	611	576	522	507	505	497	486	475	471	454	453	449	448	446	447	446	445	444	444	444	443	443	443	442	443	443	442	442	442	
352	440	447	688	559	520	505	491	479	474	469	466	451	441	437	436	434	433	432	433	432	432	430	430	430	430	429	429	430	430	429	428	429	
368	458	453	677	609	574	525	511	500	493	494	487	468	457	452	451	449	450	447	446	447	446	446	446	445	446	444	444	444	444	444	444	444	
384	469	468	586	534	516	555	532	486	485	483	483	478	470	468	469	465	465	465	463	462	462	462	461	461	461	461	461	460	459	459	459	459	
400	454	448	601	550	531	516	503	493	487	484	477	463	452	449	448	444	445	446	443	443	442	441	442	440	442	440	441	440	440	441	440	440	
416	464	458	575	530	512	498	487	482	480	480	475	471	463	461	462	461	459	459	458	458	457	456	455	455	456	455	454	454	455	454	454	454	
432	441	437	588	538	523	507	493	482	476	472	467	451	440	437	436	434	435	433	432	432	433	431	431	431	431	430	431	430	433	433	429	430	
448	454	451	603	644	608	578	560	544	533	485	481	465	460	455	453	452	448	447	446	445	445	444	444	444	444	444	444	443	443	443	444	443	
464	468	460	662	596	563	539	520	502	494	484	479	474	467	465	464	462	462	460	460	459	460	459	458	458	457	458	457	457	457	456	457	456	
480	467	465	683	536	517	502	532	517	506	495	488	478	470	468	467	467	464	465	463	463	463	464	463	461	461	462	460	460	460	461	459	459	
496	450	454	702	629	595	568	549	537	522	510	505	480	453	448	448	446	444	442	441	440	440	439	439	438	438	439	438	438	438	439	438	437	
512	461	459	614	567	598	532	518	507	521	512	490	475	461	460	457	455	455	454	452	452	451	451	452	451	451	451	450	450	450	450	449	449	
