benchmarks of sentinel-parfill-mt.e
threads	1gb	3gb	5gb	7gb	9gb	11gb	13gb	15gb	
serial	1567	3110	4634	6129	7699	9280	12002	14727	
2	1108	2206	3333	4415	5529	6665	11227	15063	
4	677	1267	1910	2557	3219	3801	7949	11851	
6	678	1360	2069	2759	3461	4157	7583	11940	
8	575	1124	1681	2314	2830	3395	8844	16370	
