benchmarks of hybrid/hybrid-vert.e
procs	64gb	
serial	58138	
2 x 2	14711	
2 x 3	10055	
2 x 4	7658	
2 x 5	6218	
2 x 6	5158	
2 x 7	4409	
2 x 8	3940	
2 x 9	3578	
2 x 10	3211	
3 x 2	9466	
3 x 3	6414	
3 x 4	5123	
3 x 5	4292	
3 x 6	3738	
3 x 7	3522	
3 x 8	3275	
3 x 9	3187	
3 x 10	3241	
