benchmarks of hybrid/hybrid-vert.e
procs	32gb	
serial	25583	
2 x 2	5813	
2 x 3	3983	
2 x 4	3004	
2 x 5	2448	
2 x 6	2027	
2 x 7	1783	
2 x 8	1532	
2 x 9	1393	
2 x 10	1320	
3 x 2	4326	
3 x 3	3042	
3 x 4	2364	
3 x 5	2023	
3 x 6	1802	
3 x 7	1583	
3 x 8	1538	
3 x 9	1545	
3 x 10	1520	
