4gb
dims	16	32	48	64	80	96	112	128	144	160	176	192	208	224	240	256	
16	616	601	591	599	614	605	603	600	600	598	602	597	598	589	594	593	
32	595	588	584	584	602	598	606	594	596	589	595	589	585	586	586	588	
48	589	585	579	581	608	594	595	594	590	590	599	597	589	583	586	589	
64	594	604	607	582	606	600	590	591	594	597	589	582	589	586	591	581	
80	586	586	583	578	599	600	592	589	591	590	589	587	590	585	587	584	
96	596	585	581	577	596	603	595	593	590	590	595	584	589	586	584	585	
112	588	588	581	578	603	595	590	591	589	587	590	587	585	585	580	581	
128	594	591	583	582	602	597	592	597	594	593	591	590	587	586	587	595	
144	619	585	583	581	608	595	600	595	596	594	599	591	586	597	585	584	
160	588	581	579	578	602	596	596	593	586	592	588	587	590	590	590	582	
176	586	585	588	582	605	602	600	598	591	593	593	589	590	591	595	590	
192	587	584	587	585	605	599	599	590	590	593	595	597	594	601	588	586	
208	587	585	590	581	609	602	601	597	596	597	595	595	595	589	588	595	
224	594	582	582	586	609	596	599	600	594	591	593	593	591	592	592	592	
240	592	586	604	583	605	601	609	596	597	601	602	592	594	601	597	599	
256	594	590	591	584	609	606	597	601	598	606	595	598	607	595	603	598	
