benchmarking serial, omp, mpi, hybrid
program	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	18gb	20gb	22gb	24gb	26gb	28gb	30gb	32gb	34gb	36gb	38gb	40gb	42gb	44gb	46gb	48gb	50gb	52gb	54gb	56gb	58gb	60gb	62gb	64gb	
serial		1381		2744		4164		5527		6942		8330		9813		11239		12686		15115		15471		17812		19757		21907		23797		26481		28457		30802		32735		35287		36981		38034		39074		41586		43335		45340		47335		49359		51554		53209		55475		57695	
omp	151	286	433	572	712	859	1009	1163	1302	1446	1594	1789	1952	2148	2346	2547	2699	3034	3246	3681	3900	4195	4506	4955	5156	5435	5834	6204	6497	6754	7087	7354	
mpi10	228	392	559	714	891	1074	1258	1428	1599	1782	1934	2121	2254	2434	2572	2773	2915	3092	3279	3477	3597	3764	3942	4151	4289	4457	4669	4920	5173	5396	5706	6062	
mpi22	184	279	398	523	627	730	851	964	1063	1184	1267	1403	1501	1619	1727	1858	1967	2093	2197	2330	2417	2541	2634	2727	2846	2930	3024	3133	3300	3439	3677	3721	
mpi30	177	264	387	511	633	742	859	969	1098	1194	1299	1426	1532	1632	1715	1864	2005	2072	2190	2301	2377	2511	2608	2724	2982	2928	3049	3156	3273	3381	3551	3691	
hybrid	94	190	281	373	469	546	645	740	826	910	1014	1136	1204	1298	1409	1550	1689	1744	1870	1980	2005	2074	2198	2318	2355	2413	2545	2666	2780	2894	2983	3194
hybrid2	99	176	257	331	407	506	573	676	742	818	952	1015	1051	1129	1162	1292	1377	1435	1599	1656	1635	1906	2047	2167	2429	2632	2695	2867	2921	3277	3604	3706	
