benchmarks of sentinel-mt.e
threads	1gb	3gb	5gb	7gb	9gb	11gb	13gb	15gb	
serial	1561	3051	4648	6119	7729	9311	11900	14819	
2	1376	2739	4113	5427	6870	8254	13613	18104	
4	1119	2137	3217	4246	5423	6510	12396	17011	
6	1150	2305	3486	4653	5800	6976	11820	17163	
8	1054	2104	3141	4191	5341	6400	14489	20896	
