benchmarks of sentinel-nofill-mt.e
threads	1gb	2gb	3gb	4gb	5gb	6gb	7gb	8gb	9gb	10gb	11gb	12gb	13gb	14gb	15gb	16gb	
serial	771	1543	2336	3090	3955	4666	5384	6162	6956	7765	8685	9795	11002	12280	13434	15102	
1	4038	2897	3657	4776	6085	7264	8529	9805	11142	12349	13725	14900	16814	18752	20566	22600	
2	5133	2230	2245	2825	3580	4293	4996	5733	6543	7269	8140	8836	10599	12473	14108	16103	
3	3660	1587	1593	2015	2543	3208	3608	4117	4655	5140	5723	6250	8125	10134	11763	13909	
4	3154	1326	1306	1624	2055	2491	3013	3515	3927	4188	4622	5077	6952	9021	10970	13071	
5	3080	1603	1685	2129	2703	3290	3842	4359	4908	5432	5990	6522	8740	10903	12974	15475	
6	3509	1539	1477	1832	2291	2762	3228	3730	4257	4684	5247	5816	8134	10722	13003	15965	
7	3573	1470	1365	1674	2103	2502	2943	3398	3879	4264	4811	5308	7707	10502	12667	15576	
8	3522	1399	1337	1596	1967	2532	2842	3579	3869	4127	4575	5190	7952	11525	13751	18066	
