benchmarks of sentinel-otf-mt.e
threads	1gb	2gb	3gb	4gb	5gb	6gb	7gb	8gb	9gb	10gb	11gb	12gb	13gb	14gb	15gb	16gb	
serial	772	1539	2333	3064	3916	4688	5479	6165	6969	7772	8684	9960	11274	12714	13920	15482	
1	4085	2757	3472	4562	5823	6948	8110	9275	10522	11837	13110	14683	16520	18418	19873	21865	
2	4933	2090	2021	2521	3206	3837	4454	5086	5758	6384	7140	8285	10095	11976	13503	15570	
3	3526	1508	1486	1864	2331	2755	3245	3685	4287	4597	5087	5990	8227	9922	11614	13608	
4	3071	1285	1246	1553	1951	2323	2712	3098	3525	3977	4496	5227	7317	9357	11082	13146	
5	3094	1524	1638	2085	2629	3147	3663	4168	4727	5363	5993	6983	9198	11294	13142	15386	
6	3526	1565	1577	1993	2491	3007	3498	3951	4520	5093	5693	6710	9100	11360	13303	15611	
7	3552	1531	1529	1958	2406	2841	3379	3889	4310	4813	5285	6371	8896	11400	13464	15949	
8	3682	1511	1461	1785	2303	2754	3055	3699	4043	4533	5181	6201	9226	12130	15019	18307	
