benchmarks of sentinel-parfill-mt.e
threads	1gb	2gb	3gb	4gb	5gb	6gb	7gb	8gb	9gb	10gb	11gb	12gb	13gb	14gb	15gb	16gb	
serial	778	1570	2367	3074	3913	4618	5365	6130	7008	7777	8544	9280	10776	12170	13569	15169	
1	4020	2798	3523	4570	5851	7014	8153	9358	10604	11946	13688	14983	18810	21735	23964	27283	
2	6017	2312	2152	2645	3346	4018	4659	5330	6042	6694	7413	8179	9912	12893	15304	18195	
3	4027	1591	1510	1875	2398	2840	3327	3781	4275	4771	5266	5739	7487	9791	11804	14874	
4	3295	1281	1222	1537	1939	2273	2630	3017	3390	3791	4220	4706	5399	8497	11066	14001	
5	3188	1416	1456	1831	2349	2835	3311	3789	4290	4829	5339	5841	6595	9536	11925	14677	
6	3273	1330	1278	1602	2033	2450	2877	3299	3737	4155	4614	5045	5485	8424	11016	14087	
7	3127	1240	1171	1449	1857	2210	2599	2967	3371	3743	4153	4536	5491	8892	12166	16414	
8	3598	1306	1092	1332	1688	2021	2387	2698	3061	3429	3784	4138	4601	9212	13105	17829	
