benchmarks of sentinel-otf-mt.e
threads	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
serial	1036	2041	3097	4127	5179	6259	11593	14868	
2	738	1457	2181	2869	3618	4322	8887	12077	
4	391	815	1184	1560	1974	2328	7329	10703	
6	493	973	1455	1952	2419	2905	7509	11631	
8	378	912	1139	1475	1879	2244	9480	14110	
