benchmarks of sentinel-otf-blocked-mt.e
threads	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
serial	1043	2038	3094	4115	5167	6219	11625	14945	
2	549	1127	1679	2230	2820	3346	8006	10955	
4	311	610	906	1213	1522	1820	6250	10069	
6	350	678	1011	1385	1634	1967	6918	10782	
8	315	635	937	1256	1566	1893	6536	11177	
