16gb
dims	16	32	48	64	80	96	112	128	144	160	176	192	208	224	240	256	
16	10075	9477	9524	9591	9539	9469	9746	9460	9577	9523	9480	9682	9468	9536	9559	9559	
32	9480	9565	9511	9528	9698	9582	9669	9614	9432	9401	9309	9430	9454	9540	9519	9600	
48	9657	
