6gb
dims	16	32	48	64	80	96	112	128	144	160	176	192	208	224	240	256	
16	919	906	897	893	927	915	1161	908	913	903	899	900	901	900	896	906	
32	900	893	879	881	913	909	899	900	895	889	892	895	888	887	889	883	
48	892	879	880	873	911	900	897	897	892	893	886	887	882	882	883	881	
64	892	883	878	871	906	900	894	891	890	887	886	888	882	887	899	888	
80	901	881	874	876	910	896	896	887	888	883	884	882	892	883	885	884	
96	887	879	878	870	905	899	892	886	893	889	1045	883	889	890	889	887	
112	885	875	878	874	907	1086	893	890	893	888	891	885	1018	892	892	882	
128	891	880	877	878	909	902	899	897	891	885	884	890	891	878	888	891	
144	888	876	877	877	908	903	897	899	894	889	893	891	896	891	888	887	
160	889	881	878	875	1051	1049	898	893	891	890	890	890	886	895	887	888	
176	919	916	911	883	903	896	898	893	890	893	890	889	885	887	886	889	
192	891	879	882	878	913	902	904	897	902	903	894	895	900	900	891	900	
208	888	881	890	879	915	904	899	898	900	893	890	895	896	893	889	891	
224	896	883	883	885	924	926	906	904	908	898	901	902	902	907	1009	1035	
240	892	881	886	886	918	914	905	904	903	901	904	911	902	899	901	906	
256	886	884	882	878	914	898	901	901	899	899	899	899	900	906	902	900	
